"id","camp_name","year","location","loc_cow","prim_meth","camp_orgs","camp_orgs_list","div_ethnicity","div_religion","EPR_GROUP","EPR_ID","PARTICIPATION","PRIMARY","CLAIM","SOURCES","NOTES","status","egip_participated","egip_claimed","egip_participated_claimed","statename","egip_groups_count","excl_groups_count","regaut_groups_count","discrim_groups_count","powerless_groups_count","egippop","exclpop","alonerule_groups_count","powershare_groups_count","alonerulepop","powersharepop","IFI","EFI","legippop","lexclpop","discrimpop","ldiscrimpop","powerlesspop","lpowerlesspop"
1,"Active Forces",1991,"Madagascar",580,1,2,"Forces Vives, Madagascar Catholic Church",0,0,"Highlanders",58002000,1,1,0,"Wikipedi: https://en.wikipedia.org/wiki/Politics_of_Madagascar","","JUNIOR PARTNER",1,0,0,"Madagascar (Malagasy)",2,0,0,0,0,0.874,0,0,2,0,0.874,0.385466,0,1,0,0,0,0,0
2,"Afar insurgency",1991,"Djibouti",522,0,1,"Front pour la Restauration de l'Unite et de la Democratie (FRUD),",0,0,"Afars",52202000,1,1,1,"ACD2EPR","Futher investigation into this case from Britannica, organizations joining conflict, and the US State Department states that there are only two ethnic groups of note within Djibouti, the Issa and Afar. This conflict was motivated by ethnic divisions between the two. While there was evidence of assistance from France. There wasn't any significant indiciation of other ethnic groups becoming involved or changing stance.","POWERLESS",0,0,0,"Djibouti",1,1,0,0,1,0.55,0.36,1,0,0.55,0,0.3025,0.1296,0.604395604395604,0.395604395604396,0,0,0.36,0.395604395604396
3,"Afghan Resistance",1979,"Afghanistan",700,0,11,"See references",1,1,"Tajiks",70014000,1,1,0,"ACD2EPR","ACD2EPR identifies Jamiyat Islami as initiating group, JIA led by Tajiks","JUNIOR PARTNER",1,0,0,"Afghanistan",3,3,0,0,3,0.77,0.102,0,3,0,0.77,0.2427,0.006674,0.875995449374289,0.116040955631399,0,0,0.102,0.116040955631399
3,"Afghan Resistance",1979,"Afghanistan",700,0,11,"See references",1,1,"Pashtuns",70012000,1,0,0,"ACD2EPR","","SENIOR PARTNER",1,0,0,"Afghanistan",3,3,0,0,3,0.77,0.102,0,3,0,0.77,0.2427,0.006674,0.875995449374289,0.116040955631399,0,0,0.102,0.116040955631399
3,"Afghan Resistance",1979,"Afghanistan",700,0,11,"See references",1,1,"Uzbeks",70016000,1,0,0,"ACD2EPR","","POWERLESS",1,0,0,"Afghanistan",3,3,0,0,3,0.77,0.102,0,3,0,0.77,0.2427,0.006674,0.875995449374289,0.116040955631399,0,0,0.102,0.116040955631399
4,"Afghans",1978,"Afghanistan",700,0,3,"Afghan Democratic Party (Parcham), Khalq, People's Democratic Party of Afghanistan (PDPA)",0,0,"Pashtuns",70012000,1,1,1,"ACD2EPR","","DOMINANT",1,1,1,"Afghanistan",1,3,0,2,1,0.41,0.367,1,0,0.41,0,0.1681,0.074649,0.527670527670528,0.472329472329472,0.117,0.150579150579151,0.25,0.321750321750322
5,"Albania Anti-Communist",1989,"Albania",339,1,0,"",0,0,"Albanians",33901000,1,1,0,"EPR","EPR describes ethnicity as irrelevant during this period","IRRELEVANT",0,0,0,"Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Algerian Revolt/ National Liberation Front",1952,"Algeria",615,1,2,"Mouvement pour les Triomphes des Libertes Democratiques, Organisation Speciale (OS)",0,0,"COL",NA,NA,NA,NA,"Colonial","",NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"Anti-Arap Moi",1990,"Kenya",501,1,-99,"",0,1,"Kikuyu-Meru-Emb",50103000,1,1,0,"WCRWWA, Klopp 2001","Protests came from ethnic groups excluded from the patronage system, especially Kikuyu","DISCRIMINATED",0,0,0,"Kenya",5,3,0,3,0,0.51,0.41,0,5,0,0.51,0.0603,0.0877,0.554347826086956,0.445652173913043,0.41,0.445652173913043,0,0
8,"Anti-Banda",1992,"Malawi",553,1,6,"Malawi Roman Catholic Church, Alliance for Democracy (AFORD), United Democratic Front (UDF), Public Affairs Committee (PAC), United Front for Multiparty Democracy (UFMD). Interim Committee for a Democratic Alliance (ICDA)",1,1,"Southerners",55301000,1,1,0,"WCRWWA and Kaspin 1995: http://www.jstor.org/stable/161823","","POWERLESS",0,0,0,"Malawi",1,2,0,0,2,0.4,0.6,1,0,0.4,0,0.16,0.2312,0.4,0.6,0,0,0.6,0.6
