"","gwid","statename","from","to","group","groupid","gwgroupid","umbrella","size","status","reg_aut"
"1",2,"United States of America",1946,1965,"Whites",1000,201000,NA,0.691,"MONOPOLY",""
"2",2,"United States of America",1946,1965,"African Americans",3000,203000,NA,0.124,"DISCRIMINATED","false"
"3",2,"United States of America",1946,1965,"American Indians",5000,205000,NA,0.0078,"POWERLESS","true"
"4",2,"United States of America",1966,2008,"Whites",1000,201000,NA,0.691,"DOMINANT",""
"5",2,"United States of America",1966,2008,"Latinos",2000,202000,NA,0.125,"POWERLESS","false"
"6",2,"United States of America",1966,2008,"African Americans",3000,203000,NA,0.124,"POWERLESS","false"
"7",2,"United States of America",1966,2008,"Asian Americans",4000,204000,NA,0.036,"POWERLESS","false"
"8",2,"United States of America",1966,2008,"American Indians",5000,205000,NA,0.0078,"POWERLESS","true"
"9",2,"United States of America",1966,2008,"Arab Americans",6000,206000,NA,0.0042,"POWERLESS","false"
"10",2,"United States of America",2009,2014,"Whites",1000,201000,NA,0.66,"SENIOR PARTNER","false"
"11",2,"United States of America",2009,2014,"Latinos",2000,202000,NA,0.15,"JUNIOR PARTNER","false"
"12",2,"United States of America",2009,2014,"African Americans",3000,203000,NA,0.124,"JUNIOR PARTNER","false"
"13",2,"United States of America",2009,2014,"Asian Americans",4000,204000,NA,0.044,"JUNIOR PARTNER","false"
"14",2,"United States of America",2009,2014,"American Indians",5000,205000,NA,0.0078,"POWERLESS","true"
"15",2,"United States of America",2009,2014,"Arab Americans",6000,206000,NA,0.005,"POWERLESS","false"
"16",2,"United States of America",2015,2017,"Whites",1000,201000,NA,0.66,"SENIOR PARTNER","false"
"17",2,"United States of America",2015,2017,"Latinos",2000,202000,NA,0.15,"JUNIOR PARTNER","false"
"18",2,"United States of America",2015,2017,"African Americans",3000,203000,NA,0.124,"JUNIOR PARTNER","false"
"19",2,"United States of America",2015,2017,"Asian Americans",4000,204000,NA,0.044,"POWERLESS","false"
"20",2,"United States of America",2015,2017,"American Indians",5000,205000,NA,0.0078,"POWERLESS","true"
"21",2,"United States of America",2015,2017,"Arab Americans",6000,206000,NA,0.005,"POWERLESS","false"
"22",2,"United States of America",2018,2021,"Whites",1000,201000,NA,0.6,"DOMINANT","false"
"23",2,"United States of America",2018,2021,"Latinos",2000,202000,NA,0.185,"POWERLESS","false"
"24",2,"United States of America",2018,2021,"African Americans",3000,203000,NA,0.134,"POWERLESS","false"
"25",2,"United States of America",2018,2021,"Asian Americans",4000,204000,NA,0.059,"POWERLESS","false"
"26",2,"United States of America",2018,2021,"American Indians",5000,205000,NA,0.013,"POWERLESS","true"
"27",2,"United States of America",2018,2021,"Arab Americans",6000,206000,NA,0.005,"POWERLESS","false"
"28",20,"Canada",1946,1960,"English speakers",1000,2001000,NA,0.59,"SENIOR PARTNER","true"
"29",20,"Canada",1946,1960,"French speakers",2000,2002000,NA,0.28,"JUNIOR PARTNER","true"
"30",20,"Canada",1946,1960,"Indigenous peoples",4000,2004000,NA,0.02,"DISCRIMINATED","false"
"31",20,"Canada",1961,1984,"English speakers",1000,2001000,NA,0.59,"SENIOR PARTNER","true"
"32",20,"Canada",1961,1984,"French speakers",2000,2002000,NA,0.28,"JUNIOR PARTNER","true"
"33",20,"Canada",1961,1984,"Indigenous peoples",4000,2004000,NA,0.02,"POWERLESS","false"
"34",20,"Canada",1985,2021,"English speakers",1000,2001000,NA,0.59,"SENIOR PARTNER","true"
"35",20,"Canada",1985,2021,"French speakers",2000,2002000,NA,0.23,"JUNIOR PARTNER","true"
"36",20,"Canada",1985,2021,"Indigenous peoples",4000,2004000,NA,0.049,"POWERLESS","true"
"37",31,"Bahamas",1973,1992,"Afro-Bahamians (Black)",1000,3101000,NA,0.85,"DOMINANT",""
"38",31,"Bahamas",1973,1992,"Whites",2000,3102000,NA,0.047,"POWERLESS","false"
"39",31,"Bahamas",1993,2021,"Afro-Bahamians (Black)",1000,3101000,NA,0.85,"IRRELEVANT",""
"40",31,"Bahamas",1993,2021,"Whites",2000,3102000,NA,0.047,"IRRELEVANT",""
"41",40,"Cuba",1946,1959,"Whites",1000,4001000,NA,0.73,"DOMINANT",""
"42",40,"Cuba",1946,1959,"Afro-Cubans",2000,4002000,NA,0.27,"POWERLESS","false"
"43",40,"Cuba",1960,2021,"Whites",1000,4001000,NA,0.641,"IRRELEVANT",""
"44",40,"Cuba",1960,2021,"Afro-Cubans",2000,4002000,NA,0.359,"IRRELEVANT",""
"45",41,"Haiti",1946,2021,"Haitians",1000,4101000,NA,0.955,"IRRELEVANT",""
"46",42,"Dominican Republic",1946,2013,"Dominicans",1000,4201000,NA,0.93,"IRRELEVANT",""
"47",42,"Dominican Republic",2014,2021,"Dominicans",1000,4201000,NA,0.93,"MONOPOLY",""
"48",42,"Dominican Republic",2014,2021,"Dominican Haitians",2000,4202000,NA,0.023,"DISCRIMINATED","false"
"49",51,"Jamaica",1962,2021,"Jamaicans",1000,5101000,NA,1,"IRRELEVANT",""
"50",52,"Trinidad and Tobago",1962,1986,"East Indians",1000,5201000,NA,0.4,"POWERLESS","false"
"51",52,"Trinidad and Tobago",1962,1986,"Blacks",2000,5202000,NA,0.375,"DOMINANT",""
"52",52,"Trinidad and Tobago",1987,1991,"East Indians",1000,5201000,NA,0.4,"JUNIOR PARTNER","false"
"53",52,"Trinidad and Tobago",1987,1991,"Blacks",2000,5202000,NA,0.375,"SENIOR PARTNER","false"
"54",52,"Trinidad and Tobago",1992,1995,"East Indians",1000,5201000,NA,0.4,"POWERLESS","false"
"55",52,"Trinidad and Tobago",1992,1995,"Blacks",2000,5202000,NA,0.375,"DOMINANT",""
"56",52,"Trinidad and Tobago",1996,2002,"East Indians",1000,5201000,NA,0.4,"SENIOR PARTNER","false"
"57",52,"Trinidad and Tobago",1996,2002,"Blacks",2000,5202000,NA,0.375,"JUNIOR PARTNER","false"
"58",52,"Trinidad and Tobago",2003,2010,"East Indians",1000,5201000,NA,0.4,"JUNIOR PARTNER","false"
"59",52,"Trinidad and Tobago",2003,2010,"Blacks",2000,5202000,NA,0.375,"SENIOR PARTNER","false"
"60",52,"Trinidad and Tobago",2011,2015,"East Indians",1000,5201000,NA,0.354,"SENIOR PARTNER","false"
"61",52,"Trinidad and Tobago",2011,2015,"Blacks",2000,5202000,NA,0.342,"JUNIOR PARTNER","false"
"62",52,"Trinidad and Tobago",2016,2021,"East Indians",1000,5201000,NA,0.354,"JUNIOR PARTNER","false"
"63",52,"Trinidad and Tobago",2016,2021,"Blacks",2000,5202000,NA,0.342,"SENIOR PARTNER","false"
"64",53,"Barbados",1966,2021,"Barbadians",1000,5301000,NA,1,"IRRELEVANT",""
"65",70,"Mexico",1946,1974,"Mestizos",1000,7001000,NA,0.801,"DOMINANT",""
"66",70,"Mexico",1946,1974,"Other indigenous groups",3000,7003000,NA,0.142,"DISCRIMINATED","false"
