;NVC1.3_LOCATION;NVC1.3_BYEAR;NVC1.3_EYEAR;NVC1.3_CAMPAIGN;NVC1.3_SUCCESS;NVC1.3_LIMITED;NVC1.3_FAILURE;NVC1.3_ONGOING;NVC1.3_VIOL;NVC1.3_NONVIOL;NVC1.3_FSELFDET;NVC1.3_REGCHANGE;NVC1.3_SECESSION;NVC1.3_CAMPAIGN.1;NVC1.3_cow
1;Afghanistan;1919;1919;Third Anglo-Afghan War;1;0;0;0;1;0;1;0;0;1;700
2;Afghanistan;1980;1980;Anti-Soviet Movement (3 Hut Uprising);0;0;1;0;0;1;1;0;0;1;700
3;Afghanistan;1980;1989;Afghan resistance;1;0;0;0;1;0;1;0;0;1;700
4;Afghanistan;1924;1929;Anti-Reformist movement;0;0;1;0;1;0;0;1;0;1;700
5;Afghanistan;1978;1979;Afghans;1;0;0;0;1;0;0;1;0;1;700
6;Afghanistan;1992;1996;Taliban/anti-government forces;1;0;0;0;1;0;0;1;0;1;700
7;Afghanistan;2001;2019;Taliban;0;0;1;1;1;0;0;1;0;1;700
8;Afghanistan;2015;2019;ISIS-Afghanistan;0;0;1;1;1;0;0;1;0;1;700
9;Albania;1990;1991;Albanian anti-communist;1;0;0;0;0;1;0;1;0;1;339
10;Albania;2019;2019;Albanian anti-corruption;0;0;1;1;0;1;0;1;0;1;339
11;Algeria;1954;1962;Algerian Revolt/National Liberation Front;1;0;0;0;1;0;1;0;0;1;615
12;Algeria;1962;1963;former rebel leaders;0;0;1;0;1;0;0;1;0;1;615
13;Algeria;1992;2002;Islamic Salvation Front;0;0;1;0;1;0;0;1;0;1;615
14;Algeria;2010;2012;Anti-Abdelaziz Bouteflika Campaign;0;1;0;0;0;1;0;1;0;1;615
15;Algeria;2019;2019;Smile Revolution;1;0;0;0;0;1;0;1;0;1;615
16;Angola;1961;1974;Popular Movement for the Liberation of Angola;1;0;0;0;1;0;1;0;0;1;540
17;Angola;1991;2019;Cabinda Conflict;0;0;1;1;1;0;0;0;1;1;540
18;Angola;1975;2002;UNITA;0;1;0;0;1;0;0;1;0;1;540
19;Argentina;1987;1987;Argentina anti-coup;1;0;0;0;0;1;0;0;0;1;160
20;Argentina;1955;1955;Revolucion Libertadora;1;0;0;0;1;0;0;1;0;1;160
21;Argentina;1973;1977;ERP/Monteneros;0;0;1;0;1;0;0;1;0;1;160
22;Argentina;1977;1983;pro-democracy movement;1;0;0;0;0;1;0;1;0;1;160
23;Armenia;2007;2009;Armenian Opposition Protest / March 1st Movement;0;1;0;0;0;1;0;1;0;1;371
24;Armenia;2018;2018;2018 Anti-government protests;1;0;0;0;0;1;0;1;0;1;371
