NVC2.1_location,NVC2.1_id,NVC2.1_loc_cow,NVC2.1_start_year,NVC2.1_end_year,NVC2.1_camp_name,NVC2.1_prim_meth,NVC2.1_total_part,NVC2.1_progress,NVC2.1_success,NVC2.1_failure,NVC2.1_campaign,NVC2.1_camp_goals
Madagascar,1,580,1991,1993,Active Forces,1,400000,4,1,0,1,0
Djibouti,2,522,1991,1994,Afar insurgency,0,3000,5,0,1,1,0
Afghanistan,3,700,1979,1988,Afghan Resistance,0,15000,4,1,0,1,5
Afghanistan,4,700,1978,1978,Afghans,0,10000,4,1,0,1,0
Albania,5,339,1989,1991,Albania Anti-Communist,1,NA,4,1,0,1,0
Algeria,6,615,1952,1962,Algerian Revolt/ National Liberation Front,1,NA,4,1,0,1,5
Kenya,7,501,1990,1991,Anti-Arap Moi,1,6000,4,1,0,1,0
Malawi,8,553,1992,1993,Anti-Banda,1,5000,4,1,0,1,2
Mexico,10,70,2006,2006,Anti-Calderon,1,1100000,5,0,1,1,0
Romania,11,360,1989,1989,Anti-Ceaucescu Rebels,0,450000,4,1,0,1,0
Zambia,12,551,2001,2001,Anti-Chiluba,1,3000,4,1,0,1,2
Senegal,13,433,2000,2000,Anti-Diouf,1,NA,4,1,0,1,0
Liberia,14,450,1989,1990,Anti-Doe rebels,0,3000,4,1,0,1,0
Haiti,15,41,1985,1986,Anti-Duvalier,1,2000,4,1,0,1,0
Peru,16,135,2000,2000,Anti-Fujimori,1,250000,4,1,0,1,0
Maldives,17,781,2003,2008,Anti-Gayoom,1,NA,4,1,0,1,0
Sudan,18,625,1985,1985,Anti-Jaafar,1,2000000,4,1,0,1,0
Venezuela,19,101,1957,1958,Anti-Jimenez,1,7200,4,1,0,1,0
Pakistan,21,770,1968,1969,Anti-Khan,1,1000000,5,0,1,1,0
Cambodia,22,811,1978,1979,Anti-Khmer Rouge,0,20000,4,1,0,1,0
Serbia,23,345,1996,2000,Anti-Milosevic,1,100000,4,1,0,1,0
Panama,24,95,1987,1989,Anti-Noriega,1,750000,5,0,1,1,0
Mexico,25,70,1986,2000,Anti-PRI,1,35000,4,1,0,1,0
Chile,26,155,1983,1989,Anti-Pinochet Movement,1,750000,4,1,0,1,0
Lebanon,28,660,1958,1958,Anti-Shamun,0,14500,5,0,1,1,0
Indonesia,29,850,1996,1998,Anti-Suharto,1,NA,4,1,0,1,0
Thailand,30,800,2005,2006,Anti-Thaksin,1,40000,4,1,0,1,0
Sudan,31,625,1962,1972,Anya Nya,0,12000,5,0,1,1,3
Argentina,32,160,1987,1987,Argentina coup plot,1,400000,4,1,0,1,1
Argentina,33,160,1977,1983,Argentina pro-democracy movement,1,24000,4,1,0,1,0
Venezuela,34,101,1958,1963,Armed Forces for National Liberation (FALN),0,NA,5,0,1,1,0
Azerbaijan,35,373,1991,1994,Armenians in Nagorno-Karabakh,0,15000,5,0,1,1,3
Pakistan,36,770,1973,1977,Third Balochistan Separatist Movement,0,NA,5,0,1,1,4
Bangladesh,37,771,1987,1990,Bangladesh Anti-Ershad,1,20000,4,1,0,1,0
Belarus,38,370,1988,1991,Belarus Anti-Communist,1,3000,4,1,0,1,0
Belarus,39,370,2006,2013,Belarus Pro-Democracy Campaign,1,35000,0,0,0,1,0
Pakistan,40,770,1971,1971,Bangla Independence Campaign,0,250000,4,1,0,1,3
Benin,41,434,1989,1990,Benin Anti-Communist,1,33500,4,1,0,1,0
Nigeria,42,475,1967,1970,Biafrans,0,50500,5,0,1,1,3
Bolivia,43,145,1976,1982,Bolivian Anti-Junta,1,50001,4,1,0,1,2
Bolivia,44,145,1952,1952,Bolivian Leftists,0,23000,4,1,0,1,0
Papua New Guinea,45,910,1988,1998,Bougainville Revolt,1,200,5,0,1,1,1
Uganda,46,500,1966,1966,Buganda Tribe,0,NA,5,0,1,1,3
Bulgaria,47,355,1989,1990,Bulgaria Anti-Communist,1,50000,4,1,0,1,0
Central African Republic,49,482,1996,1997,CAR multiple factions,0,800,5,0,1,1,0
Nepal,50,790,1996,2006,CPN-M/UPF,0,3450,4,1,0,1,0
Cameroon,51,471,1955,1959,Cameroon anti-colonialist movement,1,1500,4,1,0,1,5
Portugal,52,235,1973,1974,Carnation Revolution,1,1000,4,1,0,1,0
Lebanon,53,660,2005,2005,Cedar Revolution,1,1500000,4,1,0,1,0
Chad,54,483,1994,1998,Chad rebels,0,31150,5,0,1,1,0
Russia,55,365,1994,2007,Chechen separatists,0,20000,5,0,1,1,3
Guatemala,56,90,1954,1954,Conservative movement,0,1000,4,1,0,1,0
Nicaragua,57,93,1980,1990,Contras,0,4000,4,1,0,1,0
Ghana,58,452,1948,1951,Convention People's Party movement,1,NA,5,0,1,1,5
Yugoslavia,60,345,1970,1971,Croatian nationalists,1,10000,5,0,1,1,2
Yugoslavia,61,345,1991,1991,Croats,0,57500,5,0,1,1,3
Cuba,62,40,1956,1959,Cuban Revolution,0,3375,4,1,0,1,0
China,63,710,1966,1968,Cultural Revolution Red Guards,0,1000001,5,0,1,1,2
Czechoslovakia,64,315,1967,1968,Czech Anti-Soviet Occupation,1,1500,5,0,1,1,1
Indonesia,65,850,1949,1962,Darul Islam,0,8000,5,0,1,1,2
China,66,710,1976,1979,Democracy Movement,1,2000000,5,0,1,1,2
Brazil,68,140,1983,1984,Diretas ja,1,15000,5,0,1,1,0
Moldova,69,359,1992,1992,Dniestr,0,8834,5,0,1,1,3
Dominican Republic,70,42,1965,1965,Dominican leftists,0,5000,5,0,1,1,0
Israel,71,666,1981,1982,Druze resistance,1,13000,5,0,1,1,4
Argentina,72,160,1973,1977,ERP/ Monteneros,0,1500,5,0,1,1,0
Spain,73,230,1968,2013,Basque Campaign for Self-Determination,0,1001,0,0,0,1,3
East Germany,74,265,1953,1953,East Gemany Worker Uprising,1,2000000,5,0,1,1,0
East Germany,75,265,1989,1989,East Germany pro-dem movement,1,1000000,4,1,0,1,0
Ethiopia,76,530,1974,1991,Eritrean-led rebels,0,NA,4,1,0,1,3
Cyprus,77,352,1954,1959,Ethniki Organosis Kyprios Agoniston,1,360000,4,1,0,1,5
Democratic Republic of Congo,78,490,1977,1978,FLNC,0,1500,5,0,1,1,0
Yemen,79,679,1960,1967,"FLOSY, NLF in Aden",1,22000,4,1,0,1,5
Nicaragua,80,93,1978,1979,FSLN,0,20001,4,1,0,1,0
Burundi,81,516,1972,1973,First Hutu Rebellion,0,5000,5,0,1,1,0
Algeria,82,615,1962,1963,Former Rebel Leaders,0,9000,5,0,1,1,0
