"","cow","year","country"
"1",615,1952,"Algeria"
"2",370,1988,"Belarus"
"3",471,1955,"Cameroon"
"4",452,1948,"Ghana"
"5",315,1967,"Czechoslovakia"
"6",265,1953,"German Democratic Republic"
"7",352,1954,"Cyprus"
"8",679,1960,"Yemen"
"9",580,1947,"Madagascar"
"10",541,1963,"Mozambique"
"11",816,1945,"Vietnam"
"12",850,1945,"Indonesia"
"13",703,1990,"Kyrgyzstan"
"14",367,1989,"Latvia"
"15",820,1948,"Malaysia"
"16",501,1952,"Kenya"
"17",600,1953,"Morocco"
"18",475,1945,"Nigeria"
"19",553,1958,"Malawi"
"20",404,1963,"Guinea-Bissau"
"21",698,1964,"Oman"
"22",540,1961,"Angola"
"23",317,1989,"Slovakia"
"24",517,1956,"Rwanda"
"25",565,1960,"Namibia"
"26",368,1988,"Lithuania"
"27",346,1991,"Bosnia & Herzegovina"
"28",531,1945,"Eritrea"
"29",366,1987,"Estonia"
"30",349,1991,"Slovenia"
"31",713,1947,"Taiwan"
"32",860,1975,"Timor-Leste"
"33",616,1952,"Tunisia"
"34",315,1989,"Czechoslovakia"
"35",517,1961,"Rwanda"
"36",679,1948,"Yemen"
"37",679,1955,"Yemen"
"38",551,1960,"Zambia"
"39",369,1990,"Ukraine"
"40",812,1946,"Laos"
"41",812,1950,"Laos"
"42",750,1946,"India"
"43",811,1946,"Cambodia"
"44",366,1945,"Estonia"
"45",367,1945,"Latvia"
"46",368,1945,"Lithuania"
"47",835,1962,"Brunei"
"48",344,1991,"Croatia"
