id	ccode	byear	gwf_casename	campaign	navco20_byear	mec_byear	eyear	renavco	navco20	navco20_id	renavco_id	mec	mec2	navco11	location	any_repression	any_sec_defect	peakmembership	lnmembers	memberspc	lnmemberspc	success	target	lccode	tccode	anticolonial	nonvcamp	vcamp	camp_goal1	goalfirstyr1	camp_goal2	goalfirstyr2	camp_goal3	goalfirstyr3	regchange	territorial	campduration	lcampduration	gwf_regimetype	cbyear	spell	year	xonset	reduration	cowcode	lreduration	xongoing
490.0	41.0	1946	"Haiti 41-46"	"Anti-Lescot"			1946	1.0	0.0		490		0.0		"Haiti"	1	1	35000.0	3.5553482	0.011337869	0.44248512	1	"Lescot regime"	41	41	0	1	0	0.0	1946.0					1	0	1	0.0	"personal"	"411946"	1.0	1946.0	1.0	1.0	41.0	0.0	1.0
489.0	41.0	1956	"Haiti 50-56"	"Anti-Magloire"			1957	1.0	0.0		489		0.0		"Haiti"	1	1	90000.0	4.4998097	0.025139665	0.5498945	1	"Magloire regime"	41	41	0	1	0	0.0	1946.0					1	0	2	0.6931472	"personal"	"411956"	2.0	1956.0	1.0	1.0	41.0	0.0	1.0
489.0	41.0	1956	"Haiti 50-56"	"Anti-Magloire"			1957	1.0	0.0		489		0.0		"Haiti"	1	1	90000.0	4.4998097	0.025139665	0.5498945	1	"Magloire regime"	41	41	0	1	0	0.0	1946.0					1	0	2	0.6931472	"personal"	"411956"	2.0	1957.0	0.0	2.0	41.0	0.6931472	1.0
15.0	41.0	1985	"Haiti 57-86"	"Operation D��choukaj"	1985.0	1985.0	1986	1.0	1.0	15	15	"Yes"	1.0	"Yes"	"Haiti"	1	1	200000.0	5.2983174	0.03132832	0.60472167	1	"Duvalier regime"	41	41	0	1	0	0.0	1985.0					1	0	2	0.6931472	"personal"	"411985"	2.0	1985.0	1.0	1.0	41.0	0.0	1.0
252.0	41.0	1986	"Haiti 57-86"	"Anti-Namphy"		1987.0	1988	1.0	0.0		252	"Yes"	1.0		"Haiti"	1	0	100000.0	4.6051702	0.014990256	0.5229903	0	"Namphy junta"	41	41	0	1	0	0.0	1986.0					1	0	3	1.0986123	"personal"	"411986"	3.0	1986.0	1.0	1.0	41.0	0.0	1.0
252.0	41.0	1986	"Haiti 57-86"	"Anti-Namphy"		1987.0	1988	1.0	0.0		252	"Yes"	1.0		"Haiti"	1	0	100000.0	4.6051702	0.014990256	0.5229903	0	"Namphy junta"	41	41	0	1	0	0.0	1986.0					1	0	3	1.0986123	"personal"	"411986"	3.0	1987.0	0.0	2.0	41.0	0.6931472	1.0
252.0	41.0	1986	"Haiti 57-86"	"Anti-Namphy"		1987.0	1988	1.0	0.0		252	"Yes"	1.0		"Haiti"	1	0	100000.0	4.6051702	0.014990256	0.5229903	0	"Namphy junta"	41	41	0	1	0	0.0	1986.0					1	0	3	1.0986123	"personal"	"411986"	3.0	1988.0	0.0	3.0	41.0	1.0986123	1.0
508.0	41.0	1990	"Haiti 88-90"	"Anti-Avril"			1990	1.0	0.0		508		0.0		"Haiti"	1	1	10000.0	2.3025851	0.0014376078	0.2602555	1	"Avril Regime"	41	41	0	1	0	0.0	1990.0					1	0	1	0.0	"milpersonal"	"411990"	1.0	1990.0	1.0	1.0	41.0	0.0	1.0
604.0	41.0	1991	"Haiti 91-94"	"Anti-Cedras Coup"			1991	1.0	0.0		604		0.0		"Haiti"	1	0	20000.0	2.9957323	0.0028169013	0.33782092	0	"Cedras Coup"	41	41	0	1	0	0.0	1991.0					1	0	1	0.0	"military"	"411991"	1.0	1991.0	1.0	1.0	41.0	0.0	1.0
253.0	41.0	2003	"Haiti 99-04"	"Group of 184"		2003.0	2003	1.0	0.0		253	"Yes"	1.0		"Haiti"	1	0	15000.0	2.7080503	0.0016977929	0.29803184	0	"Aristide regime"	41	41	0	1	0	0.0	2003.0					1	0	1	0.0	"personal"	"412003"	1.0	2003.0	1.0	1.0	41.0	0.0	1.0
