"id","camp_name","year","location","loc_cow","success","Significant","Limited","Any_Progress","prim_meth","tactics","num_groups","Diverse","pop_share","Majority","Status3","Incumbent","prim_egip","prim_srpl","prim_jp","prim_excl","prim_irr","any_irrs","any_claim","prim_all_urb","prim_tek","prim_nv_years","prim_viol_years","sim_nv","sim_viol","cyear","territorial","total_part","camp_support","ingo_support","dias_support","e_gdppc","e_pop","v2x_polyarchy","v2x_cspart","v2x_egal","v2x_clphy","success_spell","progress_spell"
1,"Active Forces",1991,"Madagascar",580,0,1,1,1,"1","Hybrid",1,"0",0.395,"0","Incumbents","1",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4e+05,0,0,0,1.238,1280.526,0.252,0.681,0.353,0.48,1,1
1,"Active Forces",1992,"Madagascar",580,0,1,1,1,"1","Hybrid",1,"0",0.395,"0","Incumbents","1",1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,NA,0,0,0,1.201,1317.001,0.286,0.734,0.361,0.687,2,1
1,"Active Forces",1993,"Madagascar",580,1,1,1,1,"1","Nonviolent",1,"0",0.395,"0","Incumbents","1",1,0,1,0,0,0,0,0,0,3,0,0,0,2,0,NA,0,0,0,1.182,1355.057,0.443,0.761,0.361,0.687,3,1
2,"Afar insurgency",1991,"Djibouti",522,0,0,0,1,"0","Violent",1,"0",0.36,"0","Excluded","0",0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,3000,0,1,1,2.486,60.512,0.177,0.123,0.321,0.583,1,1
2,"Afar insurgency",1992,"Djibouti",522,0,0,1,1,"0","Violent",1,"0",0.36,"0","Excluded","0",0,0,0,1,0,0,1,1,1,0,2,0,0,1,0,4500,0,0,1,2.564,62.22,0.229,0.304,0.436,0.659,2,1
2,"Afar insurgency",1993,"Djibouti",522,0,0,0,0,"0","Violent",1,"0",0.36,"0","Excluded","0",0,0,0,1,0,0,1,1,1,0,3,0,0,1,0,4500,0,0,0,2.697,63.231,0.24,0.404,0.436,0.696,3,1
2,"Afar insurgency",1994,"Djibouti",522,0,0,0,0,"0","Violent",1,"0",0.36,"0","Excluded","0",0,0,0,1,0,0,1,1,1,0,4,0,0,2,0,4500,0,0,0,2.577,63.423,0.24,0.404,0.436,0.691,4,2
3,"Afghan Resistance",1979,"Afghanistan",700,0,0,0,0,"0","Violent",3,"1",0.74,"1","Mixed","0",1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,15000,1,1,1,1.706,1496.242,0.083,0.141,0.436,0.109,1,1
3,"Afghan Resistance",1980,"Afghanistan",700,0,0,0,0,"0","Violent",3,"1",0.74,"1","Mixed","0",1,0,1,0,0,0,0,0,1,0,2,0,0,1,1,44500,1,1,1,1.743,1476.904,0.082,0.174,0.422,0.1,2,2
3,"Afghan Resistance",1981,"Afghanistan",700,0,0,0,0,"0","Violent",3,"1",0.74,"1","Mixed","0",1,0,1,0,0,0,0,0,1,0,3,0,0,1,1,45500,1,1,1,1.84,1430.385,0.083,0.174,0.422,0.1,3,3
3,"Afghan Resistance",1982,"Afghanistan",700,0,0,0,0,"0","Violent",3,"1",0.74,"1","Mixed","0",1,0,1,0,0,0,0,0,1,0,4,0,0,1,1,45500,1,1,1,1.947,1382.088,0.082,0.174,0.422,0.1,4,4
3,"Afghan Resistance",1983,"Afghanistan",700,0,0,1,1,"0","Violent",3,"1",0.74,"1","Mixed","0",1,0,1,0,0,0,0,0,1,0,5,0,0,1,1,59500,1,1,1,2.018,1352.651,0.083,0.174,0.422,0.1,5,5
3,"Afghan Resistance",1984,"Afghanistan",700,0,0,0,0,"0","Violent",3,"1",0.74,"1","Mixed","0",1,0,1,0,0,0,0,0,1,0,6,0,0,1,1,59500,1,1,1,2.033,1339.467,0.083,0.174,0.422,0.1,6,1
3,"Afghan Resistance",1985,"Afghanistan",700,0,0,1,1,"0","Violent",3,"1",0.74,"1","Mixed","0",1,0,1,0,0,0,0,0,1,0,7,0,0,1,1,62500,1,1,1,2.012,1336.944,0.083,0.174,0.422,0.1,7,2
3,"Afghan Resistance",1986,"Afghanistan",700,0,1,1,1,"0","Violent",3,"1",0.74,"1","Mixed","0",1,0,1,0,0,0,0,0,1,0,8,0,0,1,1,62500,1,1,1,1.968,1330.123,0.083,0.174,0.422,0.1,8,1
3,"Afghan Resistance",1987,"Afghanistan",700,0,1,1,1,"0","Violent",3,"1",0.74,"1","Mixed","0",1,0,1,0,0,0,0,0,1,0,9,0,0,1,1,62500,1,1,1,1.86,1327.952,0.083,0.174,0.422,0.1,9,1
3,"Afghan Resistance",1988,"Afghanistan",700,1,1,1,1,"0","Violent",3,"1",0.74,"1","Mixed","0",1,0,1,0,0,0,0,0,1,0,10,0,0,2,1,62500,1,1,1,1.731,1338.126,0.09,0.174,0.422,0.1,10,1
4,"Afghans",1978,"Afghanistan",700,1,1,1,1,"0","Violent",1,"0",0.41,"0","Incumbents","1",1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,10000,0,0,0,1.692,1494.624,0.086,0.222,0.326,0.096,1,1
5,"Albania Anti-Communist",1989,"Albania",339,0,0,1,1,"1","Nonviolent",1,"0",0.95,"1","Incumbents","1",0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,NA,0,NA,1,4.021,340.673,0.174,0.071,0.762,0.057,1,1
5,"Albania Anti-Communist",1990,"Albania",339,0,1,1,1,"1","Hybrid",1,"0",0.82,"1","Incumbents","1",1,1,0,0,0,0,0,1,1,2,0,0,0,1,0,15000,0,NA,1,3.808,344.069,0.189,0.16,0.727,0.268,2,1
5,"Albania Anti-Communist",1991,"Albania",339,1,1,1,1,"1","Hybrid",3,"1",0.92,"1","Mixed","0",1,1,0,0,0,0,0,1,1,3,0,0,0,2,0,3e+05,0,NA,1,3.215,339.141,0.372,0.329,0.668,0.681,3,1
6,"Algerian Revolt/ National Liberation Front",1952,"Algeria",615,0,0,0,0,"1","Hybrid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,1,2.431,993.046,0.106,0.111,0.168,0.245,1,1
6,"Algerian Revolt/ National Liberation Front",1953,"Algeria",615,0,0,0,0,"1","Hybrid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,NA,NA,0,1,2.508,1012.973,0.077,0.111,0.168,0.245,2,2
6,"Algerian Revolt/ National Liberation Front",1954,"Algeria",615,0,0,0,0,"0","Violent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1000,1,NA,1,2.601,1031.191,0.079,0.111,0.163,0.139,3,3
6,"Algerian Revolt/ National Liberation Front",1955,"Algeria",615,0,0,0,0,"0","Violent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,15000,1,NA,1,2.747,1051.705,0.09,0.111,0.187,0.139,4,4
6,"Algerian Revolt/ National Liberation Front",1956,"Algeria",615,0,0,0,0,"0","Violent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,37600,1,NA,1,2.936,1074.706,0.085,0.111,0.187,0.139,5,5
6,"Algerian Revolt/ National Liberation Front",1957,"Algeria",615,0,0,0,0,"0","Violent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,37600,1,NA,1,3.208,1101.325,0.077,0.111,0.187,0.139,6,6
6,"Algerian Revolt/ National Liberation Front",1958,"Algeria",615,0,0,0,0,"0","Violent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,37600,1,NA,1,3.547,1130.551,0.077,0.111,0.187,0.139,7,7
6,"Algerian Revolt/ National Liberation Front",1959,"Algeria",615,0,0,1,1,"0","Violent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,37600,1,NA,1,4.016,1172.848,0.077,0.111,0.187,0.139,8,8
6,"Algerian Revolt/ National Liberation Front",1960,"Algeria",615,0,0,0,0,"0","Violent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,37600,1,NA,1,4.711,1224.239,0.077,0.111,0.187,0.139,9,1
6,"Algerian Revolt/ National Liberation Front",1961,"Algeria",615,0,0,0,0,"0","Violent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,37600,1,NA,1,4.612,1234.76,0.077,0.111,0.187,0.139,10,2
6,"Algerian Revolt/ National Liberation Front",1962,"Algeria",615,1,1,1,1,"0","Violent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,37600,1,NA,1,4.213,1227.356,0.078,0.121,0.381,0.139,11,3
7,"Anti-Arap Moi",1990,"Kenya",501,0,0,0,1,"1","Hybrid",1,"0",0.27,"0","Excluded","0",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6000,1,NA,NA,2.282,2515.021,0.19,0.372,0.425,0.081,1,1
7,"Anti-Arap Moi",1991,"Kenya",501,1,1,1,1,"1","Nonviolent",1,"0",0.27,"0","Excluded","0",0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,4000,1,NA,NA,2.263,2600.077,0.206,0.372,0.43,0.112,2,1
8,"Anti-Banda",1992,"Malawi",553,0,1,1,1,"1","Hybrid",2,"1",0.6,"1","Excluded","0",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,5000,0,0,0,0.977,1047.061,0.19,0.043,0.394,0.037,1,1
8,"Anti-Banda",1993,"Malawi",553,1,1,1,1,"1","Nonviolent",2,"1",0.6,"1","Excluded","0",0,0,0,1,0,0,0,0,1,2,0,0,0,2,0,30000,0,0,0,1.005,1056.817,0.251,0.06,0.431,0.083,2,1
10,"Anti-Calderon",2006,"Mexico",70,0,0,0,0,"1","Nonviolent",2,"1",0.943,"1","Mixed","0",1,1,0,0,0,0,0,1,1,16,0,0,0,0,0,1100000,0,NA,1,14.584,11479.812,0.67,0.685,0.415,0.489,1,1
11,"Anti-Ceaucescu Rebels",1989,"Romania",360,1,1,1,1,"0","Violent",1,"0",0.895,"1","Incumbents","1",1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,450000,1,0,1,6.706,2472.016,0.186,0.047,0.816,0.367,1,1
12,"Anti-Chiluba",2001,"Zambia",551,1,1,1,1,"1","Nonviolent",7,"1",1,"1","Incumbents","1",1,1,0,0,0,0,0,1,0,3,0,0,0,0,0,3000,1,1,0,1.497,1139.935,0.49,0.888,0.592,0.652,1,1
13,"Anti-Diouf",2000,"Senegal",433,1,1,1,1,"1","Hybrid",3,"1",0.815,"1","Incumbents","1",1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,NA,0,0,0,2.325,1073.715,0.677,0.86,0.67,0.752,1,1
14,"Anti-Doe rebels",1989,"Liberia",450,0,0,0,1,"0","Violent",2,"1",0.15,"0","Excluded","0",0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,3000,1,0,NA,1.338,237.454,0.221,0.415,0.412,0.055,1,1
14,"Anti-Doe rebels",1990,"Liberia",450,1,1,1,1,"0","Violent",2,"1",0.15,"0",NA,NA,0,0,0,0,0,0,1,0,1,0,2,0,0,2,0,3500,1,0,NA,0.96,225.068,0.168,0.569,0.444,0.252,2,1
15,"Anti-Duvalier",1985,"Haiti",41,0,0,0,0,"1","Hybrid",1,"0",1,"1","Incumbents","1",0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2000,1,1,1,1.905,649.774,0.151,0.246,0.107,0.037,1,1
15,"Anti-Duvalier",1986,"Haiti",41,1,1,1,1,"1","Hybrid",1,"0",1,"1","Incumbents","1",0,0,0,0,1,1,0,0,0,2,0,0,0,2,0,37500,1,NA,1,1.88,665.414,0.117,0.489,0.109,0.051,2,2
16,"Anti-Fujimori",2000,"Peru",135,1,1,1,1,"1","Nonviolent",4,"1",0.943,"1","Mixed","0",1,1,0,0,0,0,0,0,0,1,22,0,0,0,0,250000,1,1,0,5.357,2766.02,0.416,0.541,0.515,0.149,1,1
17,"Anti-Gayoom",2003,"Maldives",781,0,0,1,1,"1","Hybrid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,9.675,32.15,0.172,0.603,0.487,0.37,1,1
17,"Anti-Gayoom",2004,"Maldives",781,0,0,0,1,"1","Nonviolent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,10000,0,0,1,10.065,33.149,0.176,0.603,0.518,0.37,2,1
17,"Anti-Gayoom",2005,"Maldives",781,0,1,1,1,"1","Nonviolent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,0,0,0,9.914,33.607,0.283,0.61,0.629,0.417,3,1
17,"Anti-Gayoom",2006,"Maldives",781,0,1,1,1,"1","Nonviolent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,15000,0,0,0,10.936,35.047,0.301,0.642,0.637,0.417,4,1
17,"Anti-Gayoom",2007,"Maldives",781,0,1,1,1,"1","Nonviolent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,0,0,0,11.69,36.129,0.31,0.642,0.644,0.417,5,1
17,"Anti-Gayoom",2008,"Maldives",781,1,1,1,1,"1","Nonviolent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,NA,0,0,0,12.061,37.104,0.457,0.762,0.675,0.694,6,1
18,"Anti-Jaafar",1985,"Sudan",625,1,1,1,1,"1","Hybrid",14,"1",0.587,"1","Mixed","0",1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,2e+06,0,0,1,1.896,1895.47,0.212,0.709,0.277,0.558,1,1
19,"Anti-Jimenez",1957,"Venezuela",101,0,0,0,0,"1","Nonviolent",3,"1",1,"1","Incumbents","1",0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,7200,0,0,1,8.654,736.82,0.094,0.057,0.299,0.146,1,1
19,"Anti-Jimenez",1958,"Venezuela",101,1,1,1,1,"1","Hybrid",3,"1",1,"1","Incumbents","1",0,0,0,0,1,1,0,0,0,2,0,0,0,2,0,NA,1,0,1,8.74,763.884,0.265,0.313,0.547,0.463,2,2
21,"Anti-Khan",1968,"Pakistan",770,0,0,1,1,"1","Hybrid",6,"1",0.97,"1","Mixed","0",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1e+06,0,0,0,1.59,6135.421,0.139,0.233,0.283,0.429,1,1
21,"Anti-Khan",1969,"Pakistan",770,0,0,0,0,"1","Hybrid",6,"1",0.97,"1","Mixed","0",0,0,0,1,0,0,1,0,0,2,0,0,0,2,0,2500000,0,0,0,1.649,6323.485,0.143,0.198,0.269,0.338,2,1
